"rank","title","album","artist","albumYear","rankOneYearAgo","timestamp","albumArt"
"1","Comfortably Numb","","Pink Floyd","","","2022-10-24 17:04:50","https://images.mediaworks.nz/radio/song/images/comfortably_numb_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"2","Stairway To Heaven","","Led Zeppelin","","","2022-10-24 16:59:00","https://images.mediaworks.nz/radio/song/images/stairway_to_heaven_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"3","Kashmir","","Led Zeppelin","","","2022-10-24 16:50:10","https://images.mediaworks.nz/radio/song/images/kashmir_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"4","Bohemian Rhapsody","","Queen","","","2022-10-24 16:41:20","https://images.mediaworks.nz/radio/song/images/bohemian_rhapsody_400_queen.jpg?width=400&height=400&crop=auto"
"5","Wish You Were Here","","Pink Floyd","","","2022-10-24 16:32:30","https://images.mediaworks.nz/radio/song/images/wish_you_were_here_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"6","Free Bird","","Lynyrd Skynyrd","","","2022-10-24 16:23:40","https://images.mediaworks.nz/radio/song/images/free_bird_400_lynyrd_skynyrd.jpg?width=400&height=400&crop=auto"
"7","Brothers In Arms","","Dire Straits","","","2022-10-24 16:14:50","https://images.mediaworks.nz/radio/song/images/brothers_in_arms_400_dire_straits.jpg?width=400&height=400&crop=auto"
"8","Hotel California","","Eagles","","","2022-10-24 16:06:00","https://images.mediaworks.nz/radio/song/images/hotel_california_400_eagles.jpg?width=400&height=400&crop=auto"
"9","Shine On You Crazy Diamond Pt 6-9","","Pink Floyd","","","2022-10-24 15:58:10","https://images.mediaworks.nz/radio/song/images/shine_on_you_crazy_diamond_pt_6_9_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"10","Sultans Of Swing","","Dire Straits","","","2022-10-24 15:49:20","https://images.mediaworks.nz/radio/song/images/sultans_of_swing_400_dire_straits.jpg?width=400&height=400&crop=auto"
"11","November Rain","","Gun N' Roses","","","2022-10-24 15:40:30","https://images.mediaworks.nz/radio/song/images/november_rain_400_gun_n_roses.jpg?width=400&height=400&crop=auto"
