rank,title,album,artist,albumYear,rankOneYearAgo,timestamp,albumArt
1,Smoke On The Water,,Deep Purple,,,16/10/2020 18:13,https://cdn.mediaworks.nz/radio/song/images/smoke_on_the_water_400_deep_purple.jpg?width=400&height=400&crop=auto
2,Sweet Child O'Mine,,Guns N Roses,,,16/10/2020 18:07,https://cdn.mediaworks.nz/radio/song/images/sweet_child_o_mine_400_guns_n_roses.jpg?width=400&height=400&crop=auto
3,Layla,,Derek And The Dominos,,,16/10/2020 18:01,https://cdn.mediaworks.nz/radio/song/images/layla_400_derek_and_the_dominos.jpg?width=400&height=400&crop=auto
4,Whole Lotta Love,,Led Zeppelin,,,16/10/2020 17:55,https://cdn.mediaworks.nz/radio/song/images/whole_lotta_love_400_led_zeppelin.jpg?width=400&height=400&crop=auto
5,Money For Nothing,,Dire Straits,,,16/10/2020 17:49,https://cdn.mediaworks.nz/radio/song/images/money_for_nothing_400_dire_straits.jpg?width=400&height=400&crop=auto
6,Back In Black,,AC/DC,,,16/10/2020 17:43,https://cdn.mediaworks.nz/radio/song/images/back_in_black_400_ac_dc.jpg?width=400&height=400&crop=auto
7,Purple Haze,,Jimi Hendrix,,,16/10/2020 17:37,https://cdn.mediaworks.nz/radio/song/images/purple_haze_400_jimi_hendrix.jpg?width=400&height=400&crop=auto
8,(I Can't Get No) Satisfaction,,Rolling Stones,,,16/10/2020 17:31,https://cdn.mediaworks.nz/radio/song/images/_i_can_t_get_no_satisfaction_400_rolling_stones.jpg?width=400&height=400&crop=auto
9,You Really Got Me,,Van Halen,,,16/10/2020 17:25,https://cdn.mediaworks.nz/radio/song/images/eruption_you_really_got_me_400_van_halen.jpg?width=400&height=400&crop=auto
10,Sunshine Of Your Love,,Cream,,,16/10/2020 17:19,https://cdn.mediaworks.nz/radio/song/images/sunshine_of_your_love_400_cream.jpg?width=400&height=400&crop=auto
11,Paranoid,,Black Sabbath,,,16/10/2020 17:12,https://cdn.mediaworks.nz/radio/song/images/paranoid_400_black_sabbath.jpg?width=400&height=400&crop=auto
12,Panama,,Van Halen,,,16/10/2020 17:06,https://cdn.mediaworks.nz/radio/song/images/panama_400_van_halen.jpg?width=400&height=400&crop=auto
13,Voodoo Child (Slight Return),,Jimi Hendrix,,,16/10/2020 17:00,https://cdn.mediaworks.nz/radio/song/images/voodoo_child_slight_return__400_jimi_hendrix.jpg?width=400&height=400&crop=auto
14,All Along The Watchtower,,Jimi Hendrix,,,16/10/2020 16:54,https://cdn.mediaworks.nz/radio/song/images/all_along_the_watchtower_400_jimi_hendrix.jpg?width=400&height=400&crop=auto
15,Black Dog,,Led Zeppelin,,,16/10/2020 16:48,https://cdn.mediaworks.nz/radio/song/images/black_dog_400_led_zeppelin.jpg?width=400&height=400&crop=auto
16,Sweet Home Alabama,,Lynyrd Skynyrd,,,16/10/2020 16:42,https://cdn.mediaworks.nz/radio/song/images/sweet_home_alabama_400_lynyrd_skynyrd.jpg?width=400&height=400&crop=auto
17,Sultans Of Swing,,Dire Straits,,,16/10/2020 16:36,https://cdn.mediaworks.nz/radio/song/images/sultans_of_swing_400_dire_straits.jpg?width=400&height=400&crop=auto
18,Black Magic Woman,,Santana,,,16/10/2020 16:30,https://cdn.mediaworks.nz/radio/song/images/black_magic_woman_400_santana.jpg?width=400&height=400&crop=auto
19,Kashmir,,Led Zeppelin,,,16/10/2020 16:24,https://cdn.mediaworks.nz/radio/song/images/kashmir_400_led_zeppelin.jpg?width=400&height=400&crop=auto
20,Smells Like Teen Spirit,,Nirvana,,,16/10/2020 16:18,https://cdn.mediaworks.nz/radio/song/images/smells_like_teen_spirit_400_nirvana.jpg?width=400&height=400&crop=auto
21,Hotel California,,Eagles,,,16/10/2020 16:11,https://cdn.mediaworks.nz/radio/song/images/hotel_california_400_eagles.jpg?width=400&height=400&crop=auto
22,Money,,Pink Floyd,,,16/10/2020 16:05,https://cdn.mediaworks.nz/radio/song/images/money_400_pink_floyd.jpg?width=400&height=400&crop=auto
23,Highway To Hell,,AC/DC,,,16/10/2020 15:59,https://cdn.mediaworks.nz/radio/song/images/highway_to_hell_400_ac_dc.jpg?width=400&height=400&crop=auto
24,Crossroads,,Cream,,,16/10/2020 15:53,https://cdn.mediaworks.nz/radio/song/images/crossroads_400_cream.jpg?width=400&height=400&crop=auto
25,Stairway To Heaven,,Led Zeppelin,,,16/10/2020 15:47,https://cdn.mediaworks.nz/radio/song/images/stairway_to_heaven_400_led_zeppelin.jpg?width=400&height=400&crop=auto
26,La Grange,,ZZ Top,,,16/10/2020 15:41,https://cdn.mediaworks.nz/radio/song/images/la_grange_400_zz_top.jpg?width=400&height=400&crop=auto
27,Still Got The Blues,,Gary Moore,,,16/10/2020 15:35,https://cdn.mediaworks.nz/radio/song/images/still_got_the_blues_400_gary_moore.jpg?width=400&height=400&crop=auto
28,Enter Sandman,,Metallica,,,16/10/2020 15:29,https://cdn.mediaworks.nz/radio/song/images/enter_sandman_400_metallica.jpg?width=400&height=400&crop=auto
29,Day Tripper,,Beatles,,,16/10/2020 15:23,https://cdn.mediaworks.nz/radio/song/images/day_tripper_400_beatles.jpg?width=400&height=400&crop=auto
30,Life In The Fast Lane,,Eagles,,,16/10/2020 15:17,https://cdn.mediaworks.nz/radio/song/images/life_in_the_fast_lane_400_eagles.jpg?width=400&height=400&crop=auto
31,Walk This Way,,Aerosmith,,,16/10/2020 15:10,https://cdn.mediaworks.nz/radio/song/images/walk_this_way_400_aerosmith.jpg?width=400&height=400&crop=auto
32,Rebel Rebel,,David Bowie,,,16/10/2020 15:04,https://cdn.mediaworks.nz/radio/song/images/rebel_rebel_400_david_bowie.jpg?width=400&height=400&crop=auto
33,Paradise City,,Guns N Roses,,,16/10/2020 14:58,https://cdn.mediaworks.nz/radio/song/images/paradise_city_400_guns_n_roses.jpg?width=400&height=400&crop=auto
34,Bohemian Rhapsody,,Queen,,,16/10/2020 14:52,https://cdn.mediaworks.nz/radio/song/images/bohemian_rhapsody_400_queen.jpg?width=400&height=400&crop=auto
35,Burn,,Deep Purple,,,16/10/2020 14:46,https://cdn.mediaworks.nz/radio/song/images/burn_400_deep_purple.jpg?width=400&height=400&crop=auto
36,Bad To The Bone,,George Thorogood,,,16/10/2020 14:40,https://cdn.mediaworks.nz/radio/song/images/bad_to_the_bone_400_george_thorogood.jpg?width=400&height=400&crop=auto
37,Free Bird,,Lynyrd Skynyrd,,,16/10/2020 14:34,https://cdn.mediaworks.nz/radio/song/images/free_bird_400_lynyrd_skynyrd.jpg?width=400&height=400&crop=auto
38,Livin' On A Prayer,,Bon Jovi,,,16/10/2020 14:28,https://cdn.mediaworks.nz/radio/song/images/livin_on_a_prayer_400_bon_jovi.jpg?width=400&height=400&crop=auto
39,Aqualung,,Jethro Tull,,,16/10/2020 14:22,https://cdn.mediaworks.nz/radio/song/images/aqualung_400_jethro_tull.jpg?width=400&height=400&crop=auto
40,Iron Man,,Black Sabbath,,,16/10/2020 14:16,https://cdn.mediaworks.nz/radio/song/images/iron_man_400_black_sabbath.jpg?width=400&height=400&crop=auto
41,Little Wing,,Jimi Hendrix,,,16/10/2020 14:09,https://cdn.mediaworks.nz/radio/song/images/little_wing_400_jimi_hendrix.jpg?width=400&height=400&crop=auto
42,Ziggy Stardust,,David Bowie,,,16/10/2020 14:03,https://cdn.mediaworks.nz/radio/song/images/ziggy_stardust_400_david_bowie.jpg?width=400&height=400&crop=auto
43,Thunderstruck,,AC/DC,,,16/10/2020 13:57,https://cdn.mediaworks.nz/radio/song/images/thunderstruck_400_ac_dc.jpg?width=400&height=400&crop=auto
44,Jumpin' Jack Flash,,Rolling Stones,,,16/10/2020 13:51,https://cdn.mediaworks.nz/radio/song/images/jumpin_jack_flash_400_rolling_stones.jpg?width=400&height=400&crop=auto
45,Johnny B. Goode,,Chuck Berry,,,16/10/2020 13:45,https://cdn.mediaworks.nz/radio/song/images/johnny_b_goode_400_chuck_berry.jpg?width=400&height=400&crop=auto
46,Crazy Train,,Ozzy Osbourne,,,16/10/2020 13:39,https://cdn.mediaworks.nz/radio/song/images/crazy_train_400_ozzy_osbourne.jpg?width=400&height=400&crop=auto
47,Comfortably Numb,,Pink Floyd,,,16/10/2020 13:33,https://cdn.mediaworks.nz/radio/song/images/comfortably_numb_400_pink_floyd.jpg?width=400&height=400&crop=auto
48,Pride And Joy,,Stevie Ray Vaughan,,,16/10/2020 13:27,https://cdn.mediaworks.nz/radio/song/images/pride_and_joy_400_stevie_ray_vaughan.jpg?width=400&height=400&crop=auto
49,Heartbreaker/Living Loving Maid,,Led Zeppelin,,,16/10/2020 13:21,https://cdn.mediaworks.nz/radio/song/images/heartbreaker_living_loving_maid_400_led_zeppelin.jpg?width=400&height=400&crop=auto
50,Wish You Were Here,,Pink Floyd,,,16/10/2020 13:15,https://cdn.mediaworks.nz/radio/song/images/wish_you_were_here_400_pink_floyd.jpg?width=400&height=400&crop=auto
51,Start Me Up,,Rolling Stones,,,16/10/2020 13:08,https://cdn.mediaworks.nz/radio/song/images/start_me_up_400_rolling_stones.jpg?width=400&height=400&crop=auto
52,American Woman,,Guess Who,,,16/10/2020 13:02,https://cdn.mediaworks.nz/radio/song/images/american_woman_400_guess_who.jpg?width=400&height=400&crop=auto
53,Cocaine,,Eric Clapton,,,16/10/2020 12:56,https://cdn.mediaworks.nz/radio/song/images/cocaine_400_eric_clapton.jpg?width=400&height=400&crop=auto
54,Foxey Lady,,Jimi Hendrix,,,16/10/2020 12:50,https://cdn.mediaworks.nz/radio/song/images/foxey_lady_400_jimi_hendrix.jpg?width=400&height=400&crop=auto
55,Welcome To The Jungle,,Guns N Roses,,,16/10/2020 12:44,https://cdn.mediaworks.nz/radio/song/images/welcome_to_the_jungle_400_guns_n_roses.jpg?width=400&height=400&crop=auto
56,Brown Sugar,,Rolling Stones,,,16/10/2020 12:38,https://cdn.mediaworks.nz/radio/song/images/brown_sugar_400_rolling_stones.jpg?width=400&height=400&crop=auto
57,All Right Now,,Free,,,16/10/2020 12:32,https://cdn.mediaworks.nz/radio/song/images/all_right_now_400_free.jpg?width=400&height=400&crop=auto
58,Born To Be Wild,,Steppenwolf,,,16/10/2020 12:26,https://cdn.mediaworks.nz/radio/song/images/born_to_be_wild_400_steppenwolf.jpg?width=400&height=400&crop=auto
59,20th Century Boy,,T Rex,,,16/10/2020 12:20,https://cdn.mediaworks.nz/radio/song/images/20th_century_boy_400_t_rex.jpg?width=400&height=400&crop=auto
60,Black Night,,Deep Purple,,,16/10/2020 12:14,https://cdn.mediaworks.nz/radio/song/images/black_night_400_deep_purple.jpg?width=400&height=400&crop=auto
61,Hey Hey My My (Into The Black),,Neil Young,,,16/10/2020 12:07,https://cdn.mediaworks.nz/radio/song/images/hey_hey_my_my_into_the_black__400_neil_young_crazy_horse.jpg?width=400&height=400&crop=auto
62,More Than A Feeling,,Boston,,,16/10/2020 12:01,https://cdn.mediaworks.nz/radio/song/images/more_than_a_feeling_400_boston.jpg?width=400&height=400&crop=auto
63,You Shook Me All Night Long,,AC/DC,,,16/10/2020 11:55,https://cdn.mediaworks.nz/radio/song/images/you_shook_me_all_night_long_400_ac_dc.jpg?width=400&height=400&crop=auto
64,Tie Your Mother Down,,Queen,,,16/10/2020 11:49,https://cdn.mediaworks.nz/radio/song/images/tie_your_mother_down_400_queen.jpg?width=400&height=400&crop=auto
65,Hey Joe,,Jimi Hendrix,,,16/10/2020 11:43,https://cdn.mediaworks.nz/radio/song/images/hey_joe_400_jimi_hendrix.jpg?width=400&height=400&crop=auto
66,Sharp Dressed Man,,ZZ Top,,,16/10/2020 11:37,https://cdn.mediaworks.nz/radio/song/images/sharp_dressed_man_400_zz_top.jpg?width=400&height=400&crop=auto
67,(Don't Fear) The Reaper,,Blue Oyster Cult,,,16/10/2020 11:31,https://cdn.mediaworks.nz/radio/song/images/_don_t_fear_the_reaper_400_blue_oyster_cult.jpg?width=400&height=400&crop=auto
68,Dazed And Confused,,Led Zeppelin,,,16/10/2020 11:25,https://cdn.mediaworks.nz/radio/song/images/dazed_and_confused_400_led_zeppelin.jpg?width=400&height=400&crop=auto
69,Roadhouse Blues,,Doors,,,16/10/2020 11:19,https://cdn.mediaworks.nz/radio/song/images/roadhouse_blues_400_doors.jpg?width=400&height=400&crop=auto
70,The Boys Are Back In Town,,Thin Lizzy,,,16/10/2020 11:13,https://cdn.mediaworks.nz/radio/song/images/the_boys_are_back_in_town_400_thin_lizzy.jpg?width=400&height=400&crop=auto
71,China Grove,,Doobie Brothers,,,16/10/2020 11:06,https://cdn.mediaworks.nz/radio/song/images/china_grove_400_doobie_brothers.jpg?width=400&height=400&crop=auto
72,November Rain,,Guns N Roses,,,16/10/2020 11:00,https://cdn.mediaworks.nz/radio/song/images/november_rain_400_guns_n_roses.jpg?width=400&height=400&crop=auto
73,Rocky Mountain Way,,Joe Walsh,,,16/10/2020 10:54,https://cdn.mediaworks.nz/radio/song/images/rocky_mountain_way_400_joe_walsh.jpg?width=400&height=400&crop=auto
74,Rock And Roll,,Led Zeppelin,,,16/10/2020 10:48,https://cdn.mediaworks.nz/radio/song/images/rock_and_roll_400_led_zeppelin.jpg?width=400&height=400&crop=auto
75,(Oh) Pretty Woman,,Van Halen,,,16/10/2020 10:42,https://cdn.mediaworks.nz/thesound/Content/apps/theme/images/thesound_square4x.png?width=400&height=400&crop=auto
76,Alive,,Pearl Jam,,,16/10/2020 10:36,https://cdn.mediaworks.nz/radio/song/images/alive_400_pearl_jam.jpg?width=400&height=400&crop=auto
77,Pinball Wizard,,Who,,,16/10/2020 10:30,https://cdn.mediaworks.nz/radio/song/images/pinball_wizard_400_who.jpg?width=400&height=400&crop=auto
78,Hells Bells,,AC/DC,,,16/10/2020 10:24,https://cdn.mediaworks.nz/radio/song/images/hells_bells_400_ac_dc.jpg?width=400&height=400&crop=auto
79,Wild Thing,,Troggs,,,16/10/2020 10:18,https://cdn.mediaworks.nz/radio/song/images/wild_thing_400_troggs.jpg?width=400&height=400&crop=auto
80,Bliss,,Dudes,,,16/10/2020 10:12,https://cdn.mediaworks.nz/radio/song/images/bliss_400_dudes.jpg?width=400&height=400&crop=auto
81,Black Betty,,Ram Jam,,,16/10/2020 10:05,https://cdn.mediaworks.nz/radio/song/images/black_betty_400_ram_jam.jpg?width=400&height=400&crop=auto
82,Down Down,,Status Quo,,,16/10/2020 09:59,https://cdn.mediaworks.nz/radio/song/images/down_down_400_status_quo.jpg?width=400&height=400&crop=auto
83,We Will Rock You,,Queen,,,16/10/2020 09:53,https://cdn.mediaworks.nz/radio/song/images/we_will_rock_you_400_queen.jpg?width=400&height=400&crop=auto
84,Under the Bridge,,Red Hot Chili Peppers,,,16/10/2020 09:47,https://cdn.mediaworks.nz/radio/song/images/under_the_bridge_400_red_hot_chili_peppers.jpg?width=400&height=400&crop=auto
85,Do You Feel Like We Do,,Peter Frampton,,,16/10/2020 09:41,https://cdn.mediaworks.nz/radio/song/images/do_you_feel_like_we_do_400_peter_frampton.jpg?width=400&height=400&crop=auto
86,I Love Rock N Roll,,Joan Jett & The Blackhearts,,,16/10/2020 09:35,https://cdn.mediaworks.nz/radio/song/images/i_love_rock_n_roll_400_joan_jett_the_blackhearts.jpg?width=400&height=400&crop=auto
87,Runnin' With The Devil,,Van Halen,,,16/10/2020 09:29,https://cdn.mediaworks.nz/radio/song/images/runnin_with_the_devil_400_van_halen.jpg?width=400&height=400&crop=auto
88,Gimme Shelter,,Rolling Stones,,,16/10/2020 09:23,https://cdn.mediaworks.nz/radio/song/images/gimme_shelter_400_rolling_stones.jpg?width=400&height=400&crop=auto
89,Oh Well,,Fleetwood Mac,,,16/10/2020 09:17,https://cdn.mediaworks.nz/radio/song/images/oh_well_400_fleetwood_mac.jpg?width=400&height=400&crop=auto
90,Immigrant Song,,Led Zeppelin,,,16/10/2020 09:11,https://cdn.mediaworks.nz/radio/song/images/immigrant_song_400_led_zeppelin.jpg?width=400&height=400&crop=auto
91,My Sharona,,Knack,,,16/10/2020 09:04,https://cdn.mediaworks.nz/radio/song/images/my_sharona_400_knack.jpg?width=400&height=400&crop=auto
92,Every Breath You Take,,Police,,,16/10/2020 08:58,https://cdn.mediaworks.nz/radio/song/images/every_breath_you_take_400_police.jpg?width=400&height=400&crop=auto
93,Locomotive Breath,,Jethro Tull,,,16/10/2020 08:52,https://cdn.mediaworks.nz/radio/song/images/locomotive_breath_400_jethro_tull.jpg?width=400&height=400&crop=auto
94,Eye Of The Tiger,,Survivor,,,16/10/2020 08:46,https://cdn.mediaworks.nz/radio/song/images/eye_of_the_tiger_400_survivor.jpg?width=400&height=400&crop=auto
95,Reeling In The Years,,Steely Dan,,,16/10/2020 08:40,https://cdn.mediaworks.nz/radio/song/images/reeling_in_the_years_400_steely_dan.jpg?width=400&height=400&crop=auto
96,Are You Gonna Go My Way,,Lenny Kravitz,,,16/10/2020 08:34,https://cdn.mediaworks.nz/radio/song/images/are_you_gonna_go_my_way_400_lenny_kravitz.jpg?width=400&height=400&crop=auto
97,While My Guitar Gently Weeps,,Beatles,,,16/10/2020 08:28,https://cdn.mediaworks.nz/radio/song/images/while_my_guitar_gently_weeps_400_beatles.jpg?width=400&height=400&crop=auto
98,Barracuda,,Heart,,,16/10/2020 08:22,https://cdn.mediaworks.nz/radio/song/images/barracuda_400_heart.jpg?width=400&height=400&crop=auto
99,Runnin' Down A Dream,,Tom Petty,,,16/10/2020 08:16,https://cdn.mediaworks.nz/radio/song/images/runnin_down_a_dream_400_tom_petty.jpg?width=400&height=400&crop=auto
100,All Day and All of the Night,,Kinks,,,16/10/2020 08:10,https://cdn.mediaworks.nz/radio/song/images/all_day_and_all_of_the_night_400_kinks.jpg?width=400&height=400&crop=auto
