"rank","title","album","artist","albumYear","rankOneYearAgo","timestamp","albumArt"
"1","Stairway To Heaven","","Led Zeppelin","","","2020-10-26 18:03:22","https://cdn.mediaworks.nz/radio/song/images/stairway_to_heaven_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"2","Comfortably Numb","","Pink Floyd","","","2020-10-26 17:47:51","https://cdn.mediaworks.nz/radio/song/images/comfortably_numb_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"3","Immigrant Song","","Led Zeppelin","","","2020-10-26 17:32:20","https://cdn.mediaworks.nz/radio/song/images/immigrant_song_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"4","Sultans Of Swing","","Dire Straits","","","2020-10-26 17:16:49","https://cdn.mediaworks.nz/radio/song/images/sultans_of_swing_400_dire_straits.jpg?width=400&height=400&crop=auto"
"5","Hey Jude","","Beatles","","","2020-10-26 17:10:18","https://cdn.mediaworks.nz/radio/song/images/hey_jude_400_beatles.jpg?width=400&height=400&crop=auto"
"6","Kashmir","","Led Zeppelin","","","2020-10-26 17:03:47","https://cdn.mediaworks.nz/radio/song/images/kashmir_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"7","Hotel California","","Eagles","","","2020-10-26 16:57:16","https://cdn.mediaworks.nz/radio/song/images/hotel_california_400_eagles.jpg?width=400&height=400&crop=auto"
"8","Wish You Were Here","","Pink Floyd","","","2020-10-26 16:50:45","https://cdn.mediaworks.nz/radio/song/images/wish_you_were_here_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"9","Bohemian Rhapsody","","Queen","","","2020-10-26 16:44:14","https://cdn.mediaworks.nz/radio/song/images/bohemian_rhapsody_400_queen.jpg?width=400&height=400&crop=auto"
"10","A Day In The Life","","Beatles","","","2020-10-26 16:37:43","https://cdn.mediaworks.nz/radio/song/images/a_day_in_the_life_400_beatles.jpg?width=400&height=400&crop=auto"
"11","Angie","","Rolling Stones","","","2020-10-26 16:31:12","https://cdn.mediaworks.nz/radio/song/images/angie_400_rolling_stones.jpg?width=400&height=400&crop=auto"
"12","Heroes","","David Bowie","","","2020-10-26 16:24:41","https://cdn.mediaworks.nz/radio/song/images/heroes_400_david_bowie.jpg?width=400&height=400&crop=auto"
"13","Another Brick In The Wall Pt 2","","Pink Floyd","","","2020-10-26 16:18:10","https://cdn.mediaworks.nz/radio/song/images/another_brick_in_the_wall_pt_2_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"14","Space Oddity","","David Bowie","","","2020-10-26 16:11:39","https://cdn.mediaworks.nz/radio/song/images/space_oddity_400_david_bowie.jpg?width=400&height=400&crop=auto"
"15","Layla","","Derek & The Dominos","","","2020-10-26 16:05:08","https://cdn.mediaworks.nz/radio/song/images/layla_400_derek_the_dominos.jpg?width=400&height=400&crop=auto"
"16","Black Dog","","Led Zeppelin","","","2020-10-26 15:58:37","https://cdn.mediaworks.nz/radio/song/images/black_dog_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"17","Learning To Fly","","Pink Floyd","","","2020-10-26 15:52:06","https://cdn.mediaworks.nz/radio/song/images/learning_to_fly_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"18","Fat Bottomed Girls","","Queen","","","2020-10-26 15:45:35","https://cdn.mediaworks.nz/radio/song/images/fat_bottomed_girls_400_queen.jpg?width=400&height=400&crop=auto"
"19","My My, Hey Hey (Out of the Blue)","","Neil Young/Crazy Horse","","","2020-10-26 15:39:04","https://cdn.mediaworks.nz/radio/song/images/my_my_hey_hey_out_of_the_blue__400_neil_young_crazy_horse.jpg?width=400&height=400&crop=auto"
"20","Money","","Pink Floyd","","","2020-10-26 15:32:33","https://cdn.mediaworks.nz/radio/song/images/money_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"21","Paint It Black","","Rolling Stones","","","2020-10-26 15:26:02","https://cdn.mediaworks.nz/radio/song/images/paint_it_black_400_rolling_stones.jpg?width=400&height=400&crop=auto"
"22","Let It Be","","Beatles","","","2020-10-26 15:19:31","https://cdn.mediaworks.nz/radio/song/images/let_it_be_400_beatles.jpg?width=400&height=400&crop=auto"
"23","Whole Lotta Love","","Led Zeppelin","","","2020-10-26 15:13:00","https://cdn.mediaworks.nz/radio/song/images/whole_lotta_love_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"24","Romeo And Juliet","","Dire Straits","","","2020-10-26 15:06:29","https://cdn.mediaworks.nz/radio/song/images/romeo_and_juliet_400_dire_straits.jpg?width=400&height=400&crop=auto"
"25","Won't Get Fooled Again","","Who","","","2020-10-26 14:59:58","https://cdn.mediaworks.nz/radio/song/images/won_t_get_fooled_again_400_who.jpg?width=400&height=400&crop=auto"
"26","Dream On","","Aerosmith","","","2020-10-26 14:53:27","https://cdn.mediaworks.nz/radio/song/images/dream_on_400_aerosmith.jpg?width=400&height=400&crop=auto"
"27","Refugee","","Tom Petty & the Hear...","","","2020-10-26 14:46:56","https://cdn.mediaworks.nz/thesound/Content/apps/theme/images/thesound_square4x.png?width=400&height=400&crop=auto"
"28","Have A Cigar","","Pink Floyd","","","2020-10-26 14:40:25","https://cdn.mediaworks.nz/radio/song/images/have_a_cigar_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"29","I Got You","","Split Enz","","","2020-10-26 14:33:54","https://cdn.mediaworks.nz/radio/song/images/i_got_you_400_split_enz.jpg?width=400&height=400&crop=auto"
"30","Rock And Roll","","Led Zeppelin","","","2020-10-26 14:27:23","https://cdn.mediaworks.nz/radio/song/images/rock_and_roll_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"31","I'm On Fire","","Bruce Springsteen","","","2020-10-26 14:20:52","https://cdn.mediaworks.nz/radio/song/images/i_m_on_fire_400_bruce_springsteen.jpg?width=400&height=400&crop=auto"
"32","Time","","Pink Floyd","","","2020-10-26 14:14:21","https://cdn.mediaworks.nz/radio/song/images/time_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"33","Starman","","David Bowie","","","2020-10-26 14:07:50","https://cdn.mediaworks.nz/radio/song/images/starman_400_david_bowie.jpg?width=400&height=400&crop=auto"
"34","Be Mine Tonight","","Th' Dudes","","","2020-10-26 14:01:19","https://cdn.mediaworks.nz/radio/song/images/be_mine_tonight_400_th_dudes.jpg?width=400&height=400&crop=auto"
"35","Highway To Hell","","AC/DC","","","2020-10-26 13:54:48","https://cdn.mediaworks.nz/radio/song/images/highway_to_hell_400_ac_dc.jpg?width=400&height=400&crop=auto"
