"rank","Countdown","Spotify"
"1","Chop Suey - System Of A Down","Chop Suey! - System Of A Down"
"2","Black - Pearl Jam","Black - Pearl Jam"
"3","Walk - Pantera","Walk - Pantera"
"4","Killing In The Name - Rage Against The Machine","Killing In The Name - Rage Against The Machine"
"5","One - Metallica","One - Metallica"
"6","Everlong - Foo Fighters","Everlong - Foo Fighters"
"7","The Pot - Tool"," - "
"8","November Rain - Guns N' Roses","November Rain - Guns N' Roses"
"9","No One Knows - Queens Of The Stone Age","No One Knows - Queens of the Stone Age"
"10","Home Again - Shihad"," - "
"11","Nutshell (Unplugged) - Alice In Chains"," - "
"12","Free Bird - Lynyrd Skynyrd"," - "
"13","Highway Tune - Greta Van Fleet"," - "
"14","Comfortably Numb - Pink Floyd","Comfortably Numb - Pink Floyd"
"15","My Name is Human - Highly Suspect","My Name Is Human - Highly Suspect"
"16","Nil By Mouth - Blindspott","Nil by Mouth - Blindspott"
"17","Smells Like Teen Spirit - Nirvana","Smells Like Teen Spirit - Nirvana"
"18","The Sound Of Silence - Disturbed"," - "
"19","Stairway To Heaven - Led Zeppelin","Stairway To Heaven - Led Zeppelin"
"20","Master Of Puppets - Metallica","Master Of Puppets - Metallica"
"21","Bohemian Rhapsody - Queen","Bohemian Rhapsody - Remastered 2011 - Queen"
"22","Forty Six And Two - Tool"," - "
"23","Shine On You Crazy Diamond - Pink Floyd","Shine On You Crazy Diamond (Pts. 1-5) - Pink Floyd"
"24","Sober - Tool"," - "
"25","Money For Nothing - Dire Straits","Money For Nothing - Dire Straits"
"26","Enter Sandman - Metallica"," - "
"27","Numb - Linkin Park","Numb - Linkin Park"
"28","Simple Man - Lynyrd Skynyrd","Simple Man - Lynyrd Skynyrd"
"29","Black Hole Sun - Soundgarden","Black Hole Sun - Soundgarden"
"30","The Chain - Fleetwood Mac","The Chain - 2004 Remastered Edition - Fleetwood Mac"
"31","Stinkfist - Tool"," - "
"32","Hurt - Johnny Cash"," - "
"33","Unfuck The World - Prophets Of Rage","Unfuck the World - Prophets Of Rage"
"34","Lydia - Highly Suspect","Lydia - Highly Suspect"
"35","Rocket Queen - Guns N' Roses","Rocket Queen - Guns N' Roses"
"36","Monkey Wrench - Foo Fighters","Monkey Wrench - Foo Fighters"
"37","Thunderstruck - AC/DC"," - "
"38","For Whom The Bell Tolls - Metallica","For Whom The Bell Tolls - Remastered - Metallica"
"39","Would? - Alice In Chains","Would? - Alice In Chains"
"40","Gimme Shelter - The Rolling Stones","Gimme Shelter - The Rolling Stones"
"41","Little Pills - Devilskin","Little Pills - Devilskin"
"42","Khe Sanh - Cold Chisel","Khe Sanh - 2011 Remastered - Cold Chisel"
"43","Sweet Child O'Mine  - Guns N' Roses"," - "
"44","The Sky Is A Neighbourhood - Foo Fighters"," - "
"45","Zombie - The Cranberries"," - "
"46","Bomb Track - Rage Against The Machine"," - "
"47","Nothing Else Matters - Metallica"," - "
"48","Bliss - Th' Dudes","Bliss - Th' Dudes"
"49","Like A Stone - Audioslave","Like a Stone - Audioslave"
"50","Fade To Black - Metallica","Fade To Black - Remastered - Metallica"
"51","Phlex - Blindspott","Phlex - Blindspott"
"52","Sanitarium - Metallica","Welcome Home (Sanitarium) - Remastered - Metallica"
"53","Orion - Metallica","Orion - Remastered - Metallica"
"54","Bat Outta Hell - Meatloaf"," - "
"55","Back In Black - AC/DC","Back In Black - AC/DC"
"56","Feet Don't Fail Me Now - Queens Of The Stone Age"," - "
"57","Anema - Tool"," - "
"58","Brothers In Arms - Dire Straits","Walk Of Life - Dire Straits"
"59","Cemetary Gates - Pantera"," - "
"60","The General Electric - Shihad","Pacifier - Shihad"
"61","Wish You Were Here - Pink Floyd","Wish You Were Here - Pink Floyd"
"62","Learn To Fly - Foo Fighters","Learn to Fly - Foo Fighters"
"63","Down With The Sickness - Disturbed","Down With The Sickness - Disturbed"
"64","Hotel California - Eagles","Hotel California - Remastered - Eagles"
"65","Nightrain - Guns N' Roses","Nightrain - Guns N' Roses"
"66","Better Man - Pearl Jam","Better Man - Remastered - Pearl Jam"
"67","Working Class Man - Jimmy Barnes","Working Class Man - Jimmy Barnes"
"68","War Pigs - Black Sabbath","War Pigs - 2009 Remastered Version - Black Sabbath"
"69","Rooster - Alice In Chains","Rooster - Alice In Chains"
"70","Sad But True - Metallica"," - "
"71","Kashmir - Led Zeppelin"," - "
"72","Lateralus - Tool","Lateralus - Rockabye Baby!"
"73","Yellow Ledbetter - Pearl Jam"," - "
"74","Paranoid - Black Sabbath","Paranoid - 2009 Remastered Version - Black Sabbath"
"75","Paradise City - Guns N' Roses","Paradise City - Guns N' Roses"
"76","Ace Of Spades - Motorhead","Ace of Spades - Mot?rhead"
"77","Estranged - Guns N' Roses","Estranged - Guns N' Roses"
"78","Symphony Of Destruction - Megadeth","Symphony Of Destruction - 2004 Digital Remaster - Megadeth"
"79","Hunger Strike - Temple Of The Dog","Hunger Strike - Temple Of The Dog"
"80","Blackened - Metallica","Blackened - Metallica"
"81","Welcome To The Jungle - Guns N' Roses","Welcome To The Jungle - Guns N' Roses"
"82","All My Life - Foo Fighters","All My Life - Foo Fighters"
"83","Immigrant Song - Led Zeppelin","Immigrant Song - Led Zeppelin"
"84","Vicarious - Tool"," - "
"85","Sultans Of Swing - Dire Straits","Sultans Of Swing - Dire Straits"
"86","Du Hast - Rammstein","Du hast - Rammstein"
"87","Pacifier - Shihad","Pacifier - Shihad"
"88","Highway To Hell - AC/DC","Highway to Hell - AC/DC"
"89","Thank You - Chris Cornell","Thank You - Recorded Live At Esplanade Arts & Heritage Centre, Medicine Hat, Alberta, Canada on April 27, 2011 - Chris Cornell"
"90","Schism - Tool","Schism - Vitamin String Quartet"
"91","Driving Wheels - Jimmy Barnes","Driving Wheels - Jimmy Barnes"
"92","Toxicity - System Of A Down","Toxicity - System Of A Down"
"93","Say It Ain't So - Weezer","Say It Ain't So - Molotov Cocktail Piano"
"94","My Hero - Foo Fighters","My Hero - Foo Fighters"
"95","Cowboys From Hell - Pantera","Cowboys From Hell - Pantera"
"96","Space Oddity - David Bowie"," - "
"97","Duality - Slipknot"," - "
"98","The Pretender - Foo Fighters","The Pretender - Foo Fighters"
"99","B.Y.O.B - System Of A Down","B.Y.O.B. - System Of A Down"
"100","Daughter - Pearl Jam","Daughter (Remastered) - Pearl Jam"
"101","Run - Foo Fighters"," - "
"102","Voices - Devilskin","Voices - Devilskin"
"103","Release - Pearl Jam","Release - Pearl Jam"
"104","Under The Bridge - Red Hot Chili Peppers","Under The Bridge - Red Hot Chili Peppers"
"105","Seek And Destroy - Metallica","Seek & Destroy - Remastered - Metallica"
"106","Hells Bells - AC/DC","Hells Bells - AC/DC"
"107","Crawling - Linkin Park"," - "
"108","State Of Love And Trust - Pearl Jam"," - "
"109","Aerials - System Of A Down","Aerials - System Of A Down"
"110","Flame Trees - Cold Chisel","Flame Trees - Cold Chisel"
"111","Wherever I May Roam - Metallica"," - "
"112","Civil War - Guns N' Roses","Civil War - Guns N' Roses"
"113","The Doomed - A Perfect Circle","The Doomed - A Perfect Circle"
"114","Know Your Enemy - Rage Against The Machine","Know Your Enemy - Rage Against The Machine"
"115","For Those About To Rock (We Salute You) - AC/DC","For Those About to Rock (We Salute You) - AC/DC"
"116","Epic - Faith No More","Epic - Faith No More"
"117","Lithium - Nirvana","Lithium - Nirvana"
"118","Eulogy - Tool"," - "
"119","Flower Power - Greta Van Fleet"," - "
"120","Ride The Lightning - Metallica","For Whom The Bell Tolls - Remastered - Metallica"
"121","In The End - Linkin Park","In The End - Linkin Park"
"122","The Beautiful People - Marilyn Manson","The Beautiful People - Marilyn Manson"
"123","Alive - Pearl Jam","Alive - Pearl Jam"
"124","Freak On A Leash - Korn","Freak On a Leash - Korn"
"125","Mr Brightside - The Killers","Mr. Brightside - The Killers"
"126","The Unforgiven - Metallica"," - "
"127","Given To Fly - Pearl Jam","Given to Fly - Pearl Jam"
"128","Judith - A Perfect Circle","Judith - A Perfect Circle"
