"rank","title","album","artist","albumYear","rankOneYearAgo","rankTwoYearsAgo","timestamp","albumArt"
"1828","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1829","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1830","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1832","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1834","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1835","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1836","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1837","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1838","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1839","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1841","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1842","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1843","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1844","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1845","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1847","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1848","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1849","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1850","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1851","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1852","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1853","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1854","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1855","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1856","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1857","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1858","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1860","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
