name,name,length,played_time
Stevie Nicks,Edge Of Seventeen,320,2021-08-30 08:01:33+12
Rage Against The Machine,Freedom,366,2021-08-30 08:07:26+12
Cars,Good Times Roll,240,2021-08-30 08:16:00+12
Steriogram,Road Trip,178,2021-08-30 08:26:07+12
Bachman Turner Overdrive,You Ain't Seen Nothing Yet,211,2021-08-30 08:30:25+12
Pearl Jam,W.M.A,357,2021-08-30 08:34:20+12
Supergroove,You Freak Me,257,2021-08-30 08:45:39+12
Royal Blood,She's Creeping,202,2021-08-30 08:50:21+12
Pearl Jam,Blood,168,2021-08-30 08:53:48+12
The Ramones,I Wanna Be Sedated,148,2021-08-30 09:04:06+12
Shihad,Leo Song,209,2021-08-30 09:06:46+12
Lemonheads,Mrs Robinson,217,2021-08-30 09:10:11+12
Radiohead,My Iron Lung,274,2021-08-30 09:13:53+12
Incubus,Talk Shows On Mute,223,2021-08-30 09:20:24+12
Bleeders,So Lonely,156,2021-08-30 09:24:18+12
Queen,Who Wants To Live Forever,297,2021-08-30 09:28:54+12
Weezer,My Name Is Jonas,202,2021-08-30 09:33:54+12
The Cult,Love Removal Machine,257,2021-08-30 09:37:25+12
Anthrax,Got The Time,163,2021-08-30 09:47:10+12
The Living End,Second Solution,177,2021-08-30 09:50:03+12
Coverdale Page,Shake My Tree,292,2021-08-30 09:53:16+12
Alice In Chains,"Love, Hate, Love",382,2021-08-30 10:04:08+12
Fleetwood Mac,Landslide,195,2021-08-30 10:11:04+12
Shihad,It,371,2021-08-30 10:14:23+12
Pearl Jam,Amongst The Waves,234,2021-08-30 10:21:36+12
Manchester Orchestra,Cope,221,2021-08-30 10:25:33+12
Smashing Pumpkins,Ava Adore,252,2021-08-30 10:29:15+12
Electric Light Orchestra,Evil Woman,247,2021-08-30 10:34:29+12
I Am Giant,Duality,263,2021-08-30 10:38:38+12
Arctic Monkeys,Fireside,179,2021-08-30 10:47:49+12
Billy Idol,Mony Mony,301,2021-08-30 10:50:50+12
Big Data,Dangerous,276,2021-08-30 10:55:51+12
Police,Don't Stand So Close To Me,233,2021-08-30 11:05:52+12
Shihad,Yr Head Is A Rock,231,2021-08-30 11:09:43+12
ZZ Top,She's Just Killing Me,295,2021-08-30 11:13:41+12
My Chemical Romance,This Is How I Disappear,236,2021-08-30 11:19:37+12
The Knack,My Sharona,292,2021-08-30 11:24:08+12
The Living End,Roll On,184,2021-08-30 11:29:05+12
U2,Angel Of Harlem,223,2021-08-30 11:33:18+12
Oasis,Some Might Say,328,2021-08-30 11:37:09+12
Led Zeppelin,What Is And What Should Never Be,285,2021-08-30 11:42:29+12
Linkin Park,Burn It Down,228,2021-08-30 11:51:52+12
INXS,What You Need,209,2021-08-30 11:55:46+12
Dinosaur Pile-Up,Back Foot,186,2021-08-30 12:05:42+12
Alice Cooper,Elected,243,2021-08-30 12:09:22+12
