"NZT","Match","Group"
"9/09/2023 07:15:00","France vs New Zealand","Pool A"
"9/09/2023 23:00:00","Italy vs Namibia","Pool A"
"10/09/2023 01:30:00","Ireland vs Romania","Pool B"
"10/09/2023 04:00:00","Australia vs Georgia","Pool C"
"10/09/2023 07:00:00","England vs Argentina","Pool D"
"10/09/2023 23:00:00","Japan vs Chile","Pool D"
"11/09/2023 03:45:00","South Africa vs Scotland","Pool B"
"11/09/2023 07:00:00","Wales vs Fiji","Pool C"
"15/09/2023 07:00:00","France vs Uruguay","Pool A"
"16/09/2023 07:00:00","New Zealand vs Namibia","Pool A"
"17/09/2023 01:00:00","Samoa vs Chile","Pool D"
"17/09/2023 03:45:00","Wales vs Portugal","Pool C"
"17/09/2023 07:00:00","Ireland vs Tonga","Pool B"
"18/09/2023 01:00:00","South Africa vs Tonga","Pool B"
"18/09/2023 03:45:00","Australia vs Fiji","Pool C"
"18/09/2023 07:00:00","England vs Japan","Pool D"
"21/09/2023 03:45:00","Italy vs Uruguay","Pool A"
"22/09/2023 07:00:00","France vs Namibia","Pool A"
"23/09/2023 03:45:00","Argentina vs Samoa","Pool D"
"24/09/2023 00:00:00","Georgia vs Portugal","Pool C"
"24/09/2023 03:45:00","England vs Chile","Pool D"
"24/09/2023 07:00:00","South Africa vs Ireland","Pool B"
"25/09/2023 03:45:00","Scotland v Tonga","Pool B"
"25/09/2023 07:00:00","Wales v Australia","Pool C"
"28/09/2023 03:45:00","Uruguay v Namibia","Pool A"
"29/09/2023 07:00:00","Japan v Samoa","Pool D"
"30/09/2023 07:00:00","New Zealand v Italy","Pool A"
"1/10/2023 01:00:00","Argentina v Chile","Pool D"
"1/10/2023 03:45:00","Fiji v Georgia","Pool C"
"1/10/2023 07:00:00","Scotland v Romania","Pool B"
"2/10/2023 03:45:00","Australia v Portugal","Pool C"
"2/10/2023 07:00:00","South Africa v Tonga","Pool B"
"6/10/2023 07:00:00","New Zealand v Uruguay","Pool A"
"7/10/2023 07:00:00","France v Italy","Pool A"
"8/10/2023 01:00:00","Wales v Georgia","Pool C"
"8/10/2023 03:45:00","England v Samoa","Pool D"
"8/10/2023 07:00:00","Ireland v Scotland","Pool B"
"8/10/2023 23:00:00","Japan v Argentina","Pool D"
"9/10/2023 03:45:00","Tonga v Romania","Pool B"
"9/10/2023 07:00:00","Fiji v Portugal","Pool C"
"15/10/2023 03:00:00","Winner Pool C v Runner-up Pool D","Quarter Final 1"
"15/10/2023 07:00:00","Winner Pool B v Runner-up Pool A","Quarter Final 2"
"16/10/2023 03:00:00","Winner Pool D v Runner-up Pool C","Quarter Final 3"
"16/10/2023 07:00:00","Winner Pool A v Runner-up Pool B","Quarter Final 4"
"21/10/2023 07:00:00","Winner Quarter Final 1 v Winner Quarter Final 2","Semi Final 1"
"22/10/2023 07:00:00","Winner Quarter Final 3 v Winner Quarter Final 4","Semi Final 2"
"28/10/2023 07:00:00","Runner up Semi Final 1 v Runner up Semi Final 2","Bronze Final"
"29/10/2023 07:00:00","Winner Semi Final 1 v Winner Semi Final 2","Final"
