"rank","day","start","Length"
"265","17","2020-11-03 17:06:54","0"
"266","17","2020-11-03 17:00:54","270733"
"267","17","2020-11-03 16:54:54","230986"
"268","17","2020-11-03 16:48:54","284693"
"269","17","2020-11-03 16:42:54","451320"
"270","17","2020-11-03 16:36:54","229598"
"271","17","2020-11-03 16:30:54","316733"
"272","17","2020-11-03 16:24:54","252613"
"273","17","2020-11-03 16:18:54","205613"
"274","17","2020-11-03 16:12:54","341666"
"275","17","2020-11-03 16:06:54","167906"
"276","17","2020-11-03 15:59:24","0"
"277","17","2020-11-03 15:51:54","0"
"278","17","2020-11-03 15:44:24","205131"
"279","17","2020-11-03 15:36:54","230506"
"280","17","2020-11-03 15:29:24","289533"
"281","17","2020-11-03 15:21:54","520786"
"282","17","2020-11-03 15:14:24","366213"
"283","17","2020-11-03 15:06:54","382834"
"284","17","2020-11-03 15:01:54","305293"
"285","17","2020-11-03 14:56:54","196906"
"286","17","2020-11-03 14:51:54","334666"
"287","17","2020-11-03 14:46:54","193893"
"288","17","2020-11-03 14:41:54","223746"
"289","17","2020-11-03 14:36:54","0"
"290","17","2020-11-03 14:31:54","216426"
"291","17","2020-11-03 14:26:54","493400"
"292","17","2020-11-03 14:21:54","238240"
"293","17","2020-11-03 14:16:54","282160"
"294","17","2020-11-03 14:11:54","235893"
"295","17","2020-11-03 14:06:54","265960"
"296","17","2020-11-03 13:59:24","211423"
"297","17","2020-11-03 13:51:54","613800"
"298","17","2020-11-03 13:44:24","333893"
"299","17","2020-11-03 13:36:54","309640"
"300","17","2020-11-03 13:29:24","452333"
"301","17","2020-11-03 13:21:54","234426"
"302","17","2020-11-03 13:14:24","294600"
"303","17","2020-11-03 13:06:54","371413"
"304","17","2020-11-03 13:00:54","293293"
"305","17","2020-11-03 12:54:54","267306"
"306","17","2020-11-03 12:48:54","262346"
"307","17","2020-11-03 12:42:54","214760"
"308","17","2020-11-03 12:36:54","287066"
"309","17","2020-11-03 12:30:54","318200"
"310","17","2020-11-03 12:24:54","0"
"311","17","2020-11-03 12:18:54","329400"
"312","17","2020-11-03 12:12:54","546018"
"313","17","2020-11-03 12:06:54","364493"
"314","17","2020-11-03 12:00:54","270920"
"315","17","2020-11-03 11:54:54","283733"
"316","17","2020-11-03 11:48:54","298266"
"317","17","2020-11-03 11:42:54","515080"
"318","17","2020-11-03 11:36:54","370426"
"319","17","2020-11-03 11:30:54","204866"
"320","17","2020-11-03 11:24:54","255080"
"321","17","2020-11-03 11:18:54","189293"
"322","17","2020-11-03 11:12:54","283800"
"323","17","2020-11-03 11:06:54","261906"
"324","17","2020-11-03 11:01:27","242093"
"325","17","2020-11-03 10:56:00","345706"
"326","17","2020-11-03 10:50:33","333800"
"327","17","2020-11-03 10:45:06","0"
"328","17","2020-11-03 10:39:39","281226"
"329","17","2020-11-03 10:34:12","239813"
"330","17","2020-11-03 10:28:45","299733"
"331","17","2020-11-03 10:23:18","327000"
"332","17","2020-11-03 10:17:51","336453"
"333","17","2020-11-03 10:12:24","188653"
"334","17","2020-11-03 10:06:57","217573"
"335","17","2020-11-03 10:01:30","278973"
"336","17","2020-11-03 09:56:03","290493"
"337","17","2020-11-03 09:50:36","213933"
"338","17","2020-11-03 09:45:09","386373"
"339","17","2020-11-03 09:39:42","176346"
"340","17","2020-11-03 09:34:15","0"
