"rank","timestamp"
"1500","2019-08-26 08:04:00"
"1499","2019-08-26 08:13:50"
"1498","2019-08-26 08:28:40"
"1497","2019-08-26 08:35:30"
"1496","2019-08-26 08:45:20"
"1495","2019-08-26 08:55:10"
"1494","2019-08-26 09:10:00"
"1493","2019-08-26 09:15:00"
"1492","2019-08-26 09:20:00"
"1491","2019-08-26 09:25:00"
"1490","2019-08-26 09:30:00"
"1489","2019-08-26 09:35:00"
"1488","2019-08-26 09:40:00"
"1487","2019-08-26 09:45:00"
"1486","2019-08-26 09:50:00"
"1485","2019-08-26 09:55:00"
"1484","2019-08-26 10:00:00"
"1483","2019-08-26 10:05:00"
"1482","2019-08-26 10:10:00"
"1481","2019-08-26 10:15:00"
"1480","2019-08-26 10:20:00"
"1479","2019-08-26 10:25:00"
"1478","2019-08-26 10:30:00"
"1477","2019-08-26 10:35:00"
"1476","2019-08-26 10:40:00"
"1475","2019-08-26 10:45:00"
"1474","2019-08-26 10:50:00"
"1473","2019-08-26 10:55:00"
"1472","2019-08-26 11:00:00"
"1471","2019-08-26 11:05:00"
"1470","2019-08-26 11:10:00"
"1469","2019-08-26 11:15:00"
"1468","2019-08-26 11:20:00"
"1467","2019-08-26 11:25:00"
"1466","2019-08-26 11:30:00"
"1465","2019-08-26 11:35:00"
"1464","2019-08-26 11:40:00"
"1463","2019-08-26 11:45:00"
"1462","2019-08-26 11:50:00"
"1461","2019-08-26 11:55:00"
"1460","2019-08-26 12:00:00"
"1459","2019-08-26 12:05:00"
"1458","2019-08-26 12:10:00"
"1457","2019-08-26 12:15:00"
"1456","2019-08-26 12:20:00"
"1455","2019-08-26 12:25:00"
"1454","2019-08-26 12:30:00"
"1453","2019-08-26 12:35:00"
"1452","2019-08-26 12:40:00"
"1451","2019-08-26 12:45:00"
"1450","2019-08-26 12:50:00"
"1449","2019-08-26 12:55:00"
"1448","2019-08-26 13:00:00"
"1447","2019-08-26 13:05:00"
"1446","2019-08-26 13:10:00"
"1445","2019-08-26 13:15:00"
"1444","2019-08-26 13:20:00"
"1443","2019-08-26 13:25:00"
"1442","2019-08-26 13:30:00"
"1441","2019-08-26 13:35:00"
"1440","2019-08-26 13:40:00"
"1439","2019-08-26 13:45:00"
"1438","2019-08-26 13:50:00"
"1437","2019-08-26 13:55:00"
"1436","2019-08-26 14:00:00"
"1435","2019-08-26 14:05:00"
"1434","2019-08-26 14:10:00"
"1433","2019-08-26 14:15:00"
"1432","2019-08-26 14:20:00"
"1431","2019-08-26 14:25:00"
"1430","2019-08-26 14:30:00"
"1429","2019-08-26 14:35:00"
"1428","2019-08-26 14:40:00"
"1427","2019-08-26 14:45:00"
"1426","2019-08-26 14:50:00"
"1423","2019-08-26 14:55:00"
"1425","2019-08-26 14:55:00"
"1422","2019-08-26 15:00:00"
"1424","2019-08-26 15:00:00"
"1421","2019-08-26 15:06:12"
"1420","2019-08-26 15:12:24"
"1419","2019-08-26 15:18:36"
"1418","2019-08-26 15:24:48"
"1417","2019-08-26 15:31:00"
"1416","2019-08-26 15:37:12"
"1415","2019-08-26 15:43:24"
"1414","2019-08-26 15:49:36"
"1413","2019-08-26 15:55:48"
"1412","2019-08-26 16:02:00"
"1411","2019-08-26 16:08:12"
